Suburb	PostCode	State	BSPname
ROBINSON RIVER	0852	NT	DARWIN
STURT PLATEAU	0852	NT	DARWIN
TANAMI EAST	0852	NT	DARWIN
TIMBER CREEK	0852	NT	DARWIN
TOP SPRINGS	0852	NT	DARWIN
URALLA	0852	NT	DARWIN
VENN	0852	NT	DARWIN
VICTORIA RIVER	0852	NT	DARWIN
VICTORIA RIVER DOWNS	0852	NT	DARWIN
WARUMUNGU	0852	NT	DARWIN
WAVE HILL	0852	NT	DARWIN
WILTON	0852	NT	DARWIN
YARRALIN	0852	NT	DARWIN
TINDAL	0853	NT	DARWIN
BORROLOOLA	0854	NT	DARWIN
KING ASH BAY	0854	NT	DARWIN
TENNANT CREEK	0860	NT	SA CITY SUBS
BRUNCHILLY	0861	NT	SA CITY SUBS
TENNANT CREEK	0861	NT	SA CITY SUBS
AVON DOWNS	0862	NT	SA CITY SUBS
CALVERT	0862	NT	SA CITY SUBS
CRESSWELL DOWNS	0862	NT	SA CITY SUBS
ELLIOTT	0862	NT	SA CITY SUBS
HELEN SPRINGS	0862	NT	SA CITY SUBS
MUCKATY STATION	0862	NT	SA CITY SUBS
NEWCASTLE WATERS	0862	NT	SA CITY SUBS
NICHOLSON	0862	NT	SA CITY SUBS
PAMAYU	0862	NT	SA CITY SUBS
PHILLIP CREEK STATION	0862	NT	SA CITY SUBS
RENNER SPRINGS	0862	NT	SA CITY SUBS
TABLELANDS	0862	NT	SA CITY SUBS
TENNANT CREEK	0862	NT	SA CITY SUBS
THREE WAYS	0862	NT	SA CITY SUBS
WARREGO	0862	NT	SA CITY SUBS
WOLLOGORANG STATION	0862	NT	SA CITY SUBS
WYCLIFFE WELL	0862	NT	SA CITY SUBS
ALICE SPRINGS	0870	NT	SA CITY SUBS
ARALUEN	0870	NT	SA CITY SUBS
ARUMBERA	0870	NT	SA CITY SUBS
BRAITLING	0870	NT	SA CITY SUBS
CICCONE	0870	NT	SA CITY SUBS
CONNELLAN	0870	NT	SA CITY SUBS
DESERT SPRINGS	0870	NT	SA CITY SUBS
EAST SIDE	0870	NT	SA CITY SUBS
